Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Mar 14, 1972 ",Celtics,Warriors,W,L,124,110,Celtics won 1
"Feb 19, 1972 ",Warriors,Celtics,L,W,111,115,Warriors won 2
"Jan 8, 1972 ",Warriors,Celtics,L,W,106,128,Warriors won 1
"Dec 27, 1971 ",Celtics,Warriors,W,L,99,97,Celtics won 1
"Oct 15, 1971 ",Celtics,Warriors,L,W,75,97,Warriors won 1
"Mar 9, 1971 ",Warriors,Celtics,W,L,134,112,Celtics won 2
"Feb 17, 1971 ",Warriors,Celtics,W,L,129,99,Celtics won 1
"Dec 31, 1970 ",Celtics,Warriors,L,W,106,144,Warriors won 1
"Dec 22, 1970 ",Warriors,Celtics,W,L,138,108,Celtics won 1
"Nov 18, 1970 ",Celtics,Warriors,L,W,89,90,Warriors won 1
"Mar 4, 1970 ",Celtics,Warriors,W,L,115,110,Celtics won 1
"Feb 21, 1970 ",Warriors,Celtics,L,W,111,116,Warriors won 1
"Feb 16, 1970 ",None,None,W,L,117,114,Celtics won 1
"Feb 1, 1970 ",Celtics,Warriors,L,W,105,123,Warriors won 3
"Nov 21, 1969 ",Warriors,Celtics,L,W,115,118,Warriors won 2
"Nov 7, 1969 ",Celtics,Warriors,L,W,110,111,Warriors won 1
"Mar 9, 1969 ",Celtics,Warriors,W,L,138,89,Celtics won 1
"Mar 4, 1969 ",Warriors,Celtics,L,W,95,99,Warriors won 1
"Jan 17, 1969 ",Celtics,Warriors,W,L,102,99,Celtics won 2
"Jan 5, 1969 ",Warriors,Celtics,W,L,134,86,Celtics won 1
"Jan 3, 1969 ",Warriors,Celtics,L,W,102,104,Warriors won 2
"Dec 13, 1968 ",Celtics,Warriors,L,W,98,108,Warriors won 1
"Mar 12, 1968 ",Warriors,Celtics,W,L,124,121,Celtics won 2
"Feb 28, 1968 ",Celtics,Warriors,W,L,135,110,Celtics won 1
